"txid","coin","time","from","to","amount","fee","value_then($)","type","balance_before"
"0x784d851c39ce6794992466717c0c118903788023cca4a27542c1995044dd0229","ETH","2022/8/29 17:20","0xEA442BfEA4370065Fe652485e9CF4Ac3dD18F7f5","0x21a5851aB7D0E53ECacD3129a34B569b75fC01CE",=0.00064669618737923,=0.000293385607074000,=0.93,"Received","34392529748998826"
"0xc06e969e1ac52999ed00398b195f8250a4790cf14f09292411b0f8f2f1e7a786","ETH","2022/8/12 12:53","0x5f3f7C517604740fA2f75B96123e6BD276c83963","0x21a5851aB7D0E53ECacD3129a34B569b75fC01CE",=0.033745833561619594,=0.000236387987997000,=63.49,"Received","33745833561619596"
